@relation housing_train_cleaned_excel

@attribute id numeric
@attribute region {birmingham,'huntsville / decatur',dothan,mobile,montgomery,'florence / muscle shoals',gadsden-anniston,tuscaloosa,'anchorage / mat-su',fairbanks,phoenix,'flagstaff / sedona',tucson,'little rock',prescott,yuma,fayetteville,bakersfield,texarkana,'fresno / madera',hanford-corcoran,'humboldt county','inland empire','los angeles','kenai peninsula','mohave county','southeast alaska','fort smith',jonesboro,'show low','gold country','sierra vista',chico,'imperial county',boulder,modesto,'orange county','mendocino county',merced,'palm springs','reno / tahoe','monterey bay',redding,sacramento,'san diego','san luis obispo','santa barbara','SF bay area',stockton,'ventura county',susanville,'colorado springs','new hampshire',cincinnati,'north dakota','akron / canton',bismarck,'grand forks',columbus,'dayton / springfield',cleveland,'lima / findlay',toledo,'northern panhandle','oklahoma city','zanesville / cambridge',ashtabula,lawton,chillicothe,texoma,tulsa,bend,corvallis/albany,'tuscarawas co','east oregon',eugene,medford-ashland,'oregon coast',portland,mansfield,stillwater,athens,parkersburg-marietta}
@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed numeric
@attribute dogs_allowed numeric
@attribute smoking_allowed numeric
@attribute wheelchair_access numeric
@attribute electric_vehicle_charge numeric
@attribute comes_furnished numeric
@attribute laundry_options {'laundry on site','w/d hookups','w/d in unit','laundry in bldg','no laundry on site'}
@attribute parking_options {'street parking','off-street parking',carport,'attached garage','detached garage','no parking','valet parking'}
@attribute demand numeric
@attribute latitude numeric
@attribute long numeric
@attribute state {al,ak,az,ar,ca,co,nh,oh,nd,ok,or}

@data
7032678457,birmingham,820,townhouse,960,2,1,1,1,1,0,0,0,'w/d hookups','street parking',1,33.4835,-86.8,al
7032663721,birmingham,874,apartment,700,2,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.4948,-86.7794,al
7041827857,birmingham,785,apartment,1047,2,1,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7032008640,birmingham,840,townhouse,960,2,1,1,1,1,0,0,0,'w/d hookups','street parking',1,33.4852,-86.7987,al
7031990120,birmingham,839,apartment,700,1,1,1,0,1,0,0,0,'laundry on site','off-street parking',1,33.4951,-86.7803,al
7041820048,birmingham,965,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7031348968,birmingham,950,apartment,770,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',1,33.4772,-86.7887,al
7041820120,birmingham,1010,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7031342411,birmingham,930,townhouse,1080,3,1,1,1,1,0,0,0,'w/d in unit','street parking',1,33.486,-86.7987,al
7030841334,birmingham,820,townhouse,960,2,1,1,1,1,0,0,0,'w/d hookups','street parking',1,33.4847,-86.799,al
7030747825,birmingham,1004,apartment,880,2,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.496,-86.7789,al
7041442435,birmingham,750,house,1332,3,1,0,0,1,0,0,0,?,?,1,33.5887,-86.765,al
7037987756,birmingham,1004,apartment,880,2,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.4959,-86.779,al
7037965046,birmingham,810,apartment,600,2,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.4958,-86.7804,al
7037044472,birmingham,1004,apartment,880,2,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.4959,-86.7791,al
7041827862,birmingham,835,house,1228,3,1,0,0,1,0,0,0,?,?,1,33.6493,-86.7057,al
7037030754,birmingham,840,townhouse,960,2,1,1,1,1,0,0,0,'w/d hookups','street parking',1,33.4851,-86.7988,al
7041429432,birmingham,875,house,1050,3,2,0,0,1,0,0,0,?,?,1,33.6493,-86.7057,al
7036470598,birmingham,930,apartment,1080,3,1,1,1,1,0,0,0,'w/d hookups','street parking',1,33.4859,-86.7987,al
7036459683,birmingham,839,apartment,700,1,1,1,0,1,0,0,0,'laundry on site','off-street parking',1,33.4951,-86.7803,al
7036017516,birmingham,820,townhouse,960,2,1,1,1,1,0,0,0,'w/d hookups','street parking',1,33.4845,-86.7991,al
7041822696,birmingham,1010,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041822646,birmingham,1060,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041825784,birmingham,715,house,1088,2,1,0,0,1,0,0,0,?,?,1,33.468,-87.0924,al
7036605437,birmingham,1145,apartment,1572,3,2,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041824443,birmingham,1004,apartment,880,2,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.496,-86.779,al
7041820418,birmingham,825,house,1339,3,1,0,0,1,0,0,0,?,?,1,33.6493,-86.7057,al
7041820256,birmingham,840,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041819845,birmingham,825,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041819500,birmingham,935,house,1346,3,1,0,0,1,0,0,0,?,?,1,33.6493,-86.7057,al
7041818859,birmingham,835,house,1056,3,1,0,0,1,0,0,0,?,?,1,33.6493,-86.7057,al
7041818722,birmingham,895,house,1161,3,1.5,0,0,1,0,0,0,?,?,1,33.6493,-86.7057,al
